Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
1ère,15-16 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Je ne sais pas,"Je demande des explications au professeur, ""Je laisse tomber, tant pis""",Parfois,Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,https://nuage03.apps.education.fr/public.php/dav/files/eN9kZMpb837bm38/,https://nuage03.apps.education.fr/public.php/dav/files/jxFydPJHCWQCjgM/,
1ère,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande à un camarade, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question",Parfois,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit","Devant la classe, ça ne me dérange pas","Rarement, ça va",Le commentaire était trop négatif,,Un mélange des deux,,Oui,"Ce que je dois corriger précisément, Des encouragements pour me motiver",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je révise avec des camarades",,,,
1ère,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Être encouragé(e),,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade","Oui, souvent",Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,J’aime le fait que les professeurs prennent le temps de rédiger une appréciation : ils ont l’air plus impliqués dans la réussite des élèves ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",parce que ,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
Post-BAC,Plus de 18 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,Je demande des explications au professeur,"Oui, souvent","Pendant la correction collective devant toute la classe, Pendant les pauses ou récréations",Parfois c'est un peu flou,"Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Oraux,,Oui,Ce que je dois corriger précisément,,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,
Post-BAC,Plus de 18 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup",J'essaie de deviner ce que ça veut dire,"Oui, très souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),"Rarement, ça va",Le commentaire était trop négatif,,Oraux,,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,
1ère,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Jamais ou presque jamais,"Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",Le commentaire était trop négatif,,Écrits,"Je n’ai pas vraiment d’explications à donner, je préfère juste.  ",Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,Cela me pousse à réussir. ,"Jamais, j'ose toujours demander","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je suis des cours particuliers",,,,
1ère,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,
2nde,13-14 ans,,Parfois,La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Jamais ou presque jamais,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair",Pas vraiment,"Devant la classe, ça ne me dérange pas",Jamais,Je n'ai pas compris et je n'ai pas osé demander,,Oraux,,Non,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je fais des fiches de révision, Je suis des cours particuliers",,,,
2nde,15-16 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Rarement,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Écrits,Car c'est clair ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je révise avec des camarades",Non,,,
2nde,15-16 ans,L8IK57,Parfois,"Parfois, ça dépend de la matière ou de la note",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",Le commentaire était trop négatif,,Un mélange des deux,Cela dépend des commentaires ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,
